laneID,tLinkID,time,speed,dis
34712,162,4284.52,12.5,-1
34713,162,4285.72,21.429,-1
34712,162,4286.76,15,-1
34713,162,4287,15,-1
34711,162,4288.84,13.636,-1
34713,162,4289.16,18.75,-1
34712,162,4289.72,11.538,-1
34713,162,4290,12.5,-1
34711,162,4290.2,12.5,-1
34713,162,4291.08,12.5,-1
34711,162,4291.32,13.636,-1
34712,162,4292.2,13.636,-1
34711,162,4292.92,13.636,-1
34713,162,4293.48,16.667,-1
34713,162,4294.52,16.667,-1
34712,162,4294.72,12.5,-1
34711,162,4295.84,15,-1
34713,162,4296.6,18.75,-1
34712,162,4296.76,16.667,-1
34713,162,4297.44,21.429,-1
34713,162,4298.12,10.714,-1
34711,162,4298.36,30,-1
34713,162,4300.6,16.667,-1
34711,162,4300.88,16.667,-1
34712,162,4303.12,15,-1
34713,162,4303.52,12.5,-1
34711,162,4303.88,16.667,-1
34712,162,4305.36,15,-1
34712,162,4306.16,15,-1
34712,162,4307.24,16.667,-1
34711,162,4308,18.75,-1
34712,162,4308.64,16.667,-1
34711,162,4309.52,15,-1
34713,162,4310.4,25,-1
34713,162,4311.96,21.429,-1
34711,162,4312.32,12.5,-1
34713,162,4313.32,15,-1
34711,162,4313.6,16.667,-1
34712,162,4314.36,13.636,-1
34713,162,4314.52,50,-1
34712,162,4315.68,21.429,-1
34713,162,4315.92,16.667,-1
34712,162,4317.48,13.636,-1
34712,162,4319.16,13.636,-1
34713,162,4319.52,25,-1
34711,162,4321.6,37.5,-1
34712,162,4322.84,21.429,-1
34713,162,4323.36,25,-1
34712,162,4326.8,21.429,-1
34712,162,4328.6,16.667,-1
34712,162,4330.4,16.667,-1
34713,162,4331.08,13.636,-1
34713,162,4334.36,21.429,-1
34713,162,4334.56,75,-1
34711,162,4334.6,25,-1
34711,162,4336.6,18.75,-1
34712,162,4337.44,16.667,-1
34712,162,4342.72,13.636,-1
34711,162,4343.04,16.667,-1
34711,162,4345.48,30,-1
34713,162,4347.08,18.75,-1
34712,162,4347.52,13.636,-1
34712,162,4349.08,21.429,-1
34711,162,4349.68,18.75,-1
34713,162,4350.08,16.667,-1
34712,162,4350.4,15,-1
34711,162,4351,18.75,-1
34711,162,4352.68,15,-1
34712,162,4353,13.636,-1
34713,162,4353.88,25,-1
34713,162,4355.24,18.75,-1
34712,162,4356.12,9.375,-1
34713,162,4356.36,13.636,-1
34712,162,4357.2,12.5,-1
34711,162,4357.44,12.5,-1
34713,162,4358.28,12.5,-1
34711,162,4359.36,13.636,-1
34712,162,4360.68,15,-1
34713,162,4362.84,11.538,-1
34712,162,4363.32,18.75,-1
34712,162,4364.24,18.75,-1
34713,162,4364.56,10,-1
34711,162,4364.8,75,-1
34711,162,4365.4,18.75,-1
34711,162,4366.4,13.636,-1
34712,162,4366.72,13.636,-1
34713,162,4366.92,15,-1
34711,162,4367.64,15,-1
34712,162,4367.92,10.714,-1
34711,162,4369.16,15,-1
34713,162,4369.32,13.636,-1
34713,162,4370.48,12.5,-1
34713,162,4371.84,15,-1
34713,162,4374.44,16.667,-1
34712,162,4376.24,10.714,-1
34711,162,4376.88,10.714,-1
34712,162,4377.76,13.636,-1
34711,162,4378.96,16.667,-1
34711,162,4380.8,15,-1
34713,162,4381.4,21.429,-1
34711,162,4382.12,11.538,-1
34712,162,4382.8,15,-1
34712,162,4384.52,18.75,-1
34711,162,4385.08,13.636,-1
34713,162,4385.48,12.5,-1
34712,162,4385.64,25,-1
34712,162,4386.56,10.714,-1
34713,162,4386.76,12.5,-1
34711,162,4387.68,15,-1
34712,162,4388.48,13.636,-1
34711,162,4390.36,15,-1
34712,162,4390.4,15,-1
34713,162,4391.32,12.5,-1
34712,162,4391.52,12.5,-1
34712,162,4393.36,13.636,-1
34713,162,4393.68,13.636,-1
34712,162,4394.56,13.636,-1
34711,162,4395.2,18.75,-1
34711,162,4396,18.75,-1
34713,162,4396.2,16.667,-1
34712,162,4396.76,18.75,-1
34712,162,4398.08,16.667,-1
34713,162,4398.44,15,-1
34711,162,4399.32,16.667,-1
34713,162,4399.96,18.75,-1
34713,162,4401.24,15,-1
34712,162,4401.56,15,-1
34713,162,4402.2,10.714,-1
34711,162,4403.12,15,-1
34713,162,4403.76,18.75,-1
34712,162,4404.56,13.636,-1
34711,162,4404.88,12.5,-1
34713,162,4405.76,16.667,-1
34712,162,4406.56,18.75,-1
34713,162,4408.16,25,-1
34711,162,4409.32,25,-1
34713,162,4410.32,25,-1
34711,162,4411.92,16.667,-1
34712,162,4412.28,12.5,-1
34711,162,4413.72,18.75,-1
34713,162,4414,21.429,-1
34712,162,4414.2,18.75,-1
34711,162,4414.92,18.75,-1
34712,162,4415.72,21.429,-1
34713,162,4415.88,16.667,-1
34712,162,4417.6,30,-1
34713,162,4418.4,12.5,-1
34712,162,4419,12.5,-1
34711,162,4419.84,18.75,-1
34712,162,4424.88,15,-1
34712,162,4426.92,10,-1
34713,162,4427.28,12.5,-1
34713,162,4427.48,21.429,-1
34711,162,4427.6,13.636,-1
34712,162,4430.68,10.714,-1
