laneID,tLinkID,time,speed,dis,RVID
34712,161,3987.56,16.667,-1,3148
34712,161,3989.52,13.636,-1,3149
34711,161,3990.2,13.636,-1,3150
34713,160,3990.24,13.636,-1,3151
34713,160,3992.84,15,-1,3152
34711,160,3993.12,16.667,-1,3153
34712,161,3993.6,12.5,-1,3154
34712,161,3997,13.636,-1,3155
34711,161,3998.68,16.667,-1,3156
34713,161,3999.6,16.667,-1,3157
34711,160,4000.76,18.75,-1,3158
34713,161,4001.16,16.667,-1,3159
34713,160,4002.4,15,-1,3160
34712,161,4003,18.75,-1,3161
34712,161,4004.4,15,-1,3162
34713,161,4005.2,21.429,-1,3163
34712,160,4005.52,16.667,-1,3164
34712,161,4006.36,11.538,-1,3165
34713,160,4008.08,18.75,-1,3166
34712,161,4008.4,13.636,-1,3167
34711,161,4008.8,10.714,-1,3168
34713,160,4009.6,18.75,-1,3169
34712,160,4009.92,15,-1,3170
34712,161,4011.4,15,-1,3171
34713,160,4012.2,25,-1,3172
34711,160,4012.4,18.75,-1,3173
34712,161,4013.4,18.75,-1,3174
34713,161,4013.72,15,-1,3175
34711,160,4013.96,16.667,-1,3176
34712,160,4014.92,18.75,-1,3177
34713,160,4015.12,21.429,-1,3178
34711,161,4015.48,16.667,-1,3179
34712,160,4017.44,16.667,-1,3180
34713,161,4018.16,21.429,-1,3181
34711,161,4019.08,18.75,-1,3182
34712,160,4020.08,15,-1,3183
34713,160,4021.32,16.667,-1,3184
34711,161,4021.48,12.5,-1,3185
34712,161,4021.84,15,-1,3186
34712,160,4023.04,13.636,-1,3187
34711,161,4023.28,15,-1,3188
34713,161,4024.64,18.75,-1,3189
34712,161,4027.04,15,-1,3190
34713,160,4028.4,12.5,-1,3191
34712,161,4028.96,16.667,-1,3192
34713,161,4031.16,13.636,-1,3193
34712,160,4032.16,11.538,-1,3194
34711,160,4032.36,50,-1,3195
34713,161,4032.8,37.5,-1,3196
34713,160,4034.28,12.5,-1,3197
34711,161,4035,18.75,-1,3198
34713,160,4036.96,16.667,-1,3199
34712,161,4037.48,11.538,-1,3200
34712,160,4038.68,12.5,-1,3201
34713,160,4038.84,13.636,-1,3202
34713,160,4039.64,13.636,-1,3203
34712,161,4044.96,18.75,-1,3204
34713,161,4046.28,21.429,-1,3205
34711,161,4047.12,13.636,-1,3206
34711,161,4048.04,13.636,-1,3207
34713,160,4048.92,15,-1,3208
34712,161,4052.36,15,-1,3209
34711,160,4052.6,15,-1,3210
34713,160,4053.64,16.667,-1,3211
34712,161,4056.44,21.429,-1,3212
34711,160,4057.44,13.636,-1,3213
34713,161,4057.48,13.636,-1,3214
34712,160,4058.4,12.5,-1,3215
34713,161,4058.68,12.5,-1,3216
34712,161,4059.84,11.538,-1,3217
34712,161,4061.28,15,-1,3218
34712,160,4064.2,16.667,-1,3219
34712,161,4067.68,30,-1,3220
34712,160,4068.72,15,-1,3221
34713,160,4069.88,16.667,-1,3222
34713,161,4071.08,13.636,-1,3223
34713,161,4078.08,15,-1,3224
34712,160,4079.44,21.429,-1,3225
34712,160,4080.48,18.75,-1,3226
34713,160,4084.04,30,-1,3227
34712,160,4085.56,9.375,-1,3228
34713,161,4087.44,16.667,-1,3229
34711,160,4090.88,16.667,-1,3230
34713,161,4091.04,16.667,-1,3231
34713,161,4092.24,13.636,-1,3232
34712,161,4092.4,25,-1,3233
34713,161,4093.44,18.75,-1,3234
34713,161,4094.56,15,-1,3235
34712,160,4094.76,16.667,-1,3236
34713,160,4095.56,16.667,-1,3237
34712,161,4096.88,12.5,-1,3238
34713,161,4097.08,13.636,-1,3239
34711,160,4099.36,10,-1,3240
34713,161,4099.52,15,-1,3241
34712,161,4100.76,15,-1,3242
34713,161,4101.32,15,-1,3243
34712,160,4103.8,13.636,-1,3244
34713,160,4104.2,16.667,-1,3245
34713,160,4105.4,18.75,-1,3246
34711,161,4105.84,37.5,-1,3247
34713,161,4106.72,21.429,-1,3248
34711,161,4107.48,25,-1,3249
34713,161,4111.4,25,-1,3250
34712,160,4111.84,15,-1,3251
34711,161,4112.44,37.5,-1,3252
34713,161,4114.04,16.667,-1,3253
34711,160,4114.48,25,-1,3254
34712,161,4116.04,37.5,-1,3255
34713,161,4116.64,18.75,-1,3256
34712,160,4117.52,30,-1,3257
34711,160,4118,25,-1,3258
34712,160,4118.24,30,-1,3259
34712,161,4119.56,13.636,-1,3260
34713,160,4119.8,15,-1,3261
34711,161,4120.36,16.667,-1,3262
34712,160,4120.64,21.429,-1,3263
34711,161,4121.48,15,-1,3264
34713,160,4122.2,15,-1,3265
34711,160,4122.64,15,-1,3266
34713,160,4124.84,15,-1,3267
34713,161,4127.2,13.636,-1,3268
34711,160,4128.96,18.75,-1,3269
34711,160,4131.32,16.667,-1,3270
34712,161,4131.56,16.667,-1,3271
34713,161,4132.04,16.667,-1,3272
34711,160,4132.56,30,-1,3273
34713,161,4133.08,15,-1,3274
34711,161,4133.88,13.636,-1,3275
34712,161,4134.36,13.636,-1,3276
34713,161,4134.72,12.5,-1,3277
34711,161,4135.4,13.636,-1,3278
34713,161,4135.64,16.667,-1,3279
34712,161,4135.88,16.667,-1,3280
34711,161,4136.48,15,-1,3281
34712,161,4137.08,15,-1,3282
34713,160,4137.28,25,-1,3283
34711,161,4137.72,18.75,-1,3284
34712,161,4138.24,13.636,-1,3285
34711,160,4138.72,12.5,-1,3286
34713,161,4138.92,13.636,-1,3287
34712,161,4139.24,16.667,-1,3288
34711,161,4139.72,18.75,-1,3289
34712,160,4141.56,16.667,-1,3290
34711,160,4142.76,13.636,-1,3291
34713,160,4143.56,15,-1,3292
34712,161,4143.92,18.75,-1,3293
34711,161,4144.4,21.429,-1,3294
34712,160,4147.28,18.75,-1,3295
34711,160,4148.68,18.75,-1,3296
34713,161,4149.76,15,-1,3297
34712,160,4150.12,18.75,-1,3298
34713,160,4152.76,21.429,-1,3299
34712,161,4153.88,11.538,-1,3300
34711,161,4154.76,15,-1,3301
34713,160,4155,21.429,-1,3302
34711,161,4156.08,16.667,-1,3303
34713,160,4156.44,21.429,-1,3304
34712,160,4156.64,21.429,-1,3305
34713,161,4158.16,18.75,-1,3306
34712,160,4159.12,25,-1,3307
34713,160,4160.24,37.5,-1,3308
34712,161,4162.52,15,-1,3309
34713,161,4165.12,16.667,-1,3310
34712,161,4165.36,16.667,-1,3311
34711,161,4165.72,25,-1,3312
34713,160,4166.68,18.75,-1,3313
34711,161,4167.08,18.75,-1,3314
34712,160,4167.56,13.636,-1,3315
34713,160,4168.28,21.429,-1,3316
34713,161,4169.56,15,-1,3317
34711,160,4170.36,12.5,-1,3318
34713,160,4171.92,15,-1,3319
34712,161,4172.6,15,-1,3320
34711,160,4173.12,16.667,-1,3321
34712,161,4173.76,21.429,-1,3322
34713,161,4173.96,50,-1,3323
34713,161,4174.72,21.429,-1,3324
34711,160,4174.96,16.667,-1,3325
34712,161,4177.16,12.5,-1,3326
34712,161,4181.72,15,-1,3327
34713,161,4183.4,18.75,-1,3328
34711,161,4184.08,16.667,-1,3329
34713,161,4184.44,18.75,-1,3330
34712,160,4184.88,16.667,-1,3331
34713,161,4185.16,16.667,-1,3332
34711,160,4185.52,18.75,-1,3333
34712,161,4186.76,15,-1,3334
34713,160,4186.96,18.75,-1,3335
34713,161,4188.16,16.667,-1,3336
34713,160,4192.68,25,-1,3337
34713,161,4193.92,21.429,-1,3338
34712,160,4194.28,18.75,-1,3339
34713,160,4194.52,25,-1,3340
34711,161,4195.32,13.636,-1,3341
34713,160,4196.8,16.667,-1,3342
34712,161,4197.08,16.667,-1,3343
34712,160,4197.96,18.75,-1,3344
34713,160,4198.64,18.75,-1,3345
34712,160,4199.36,15,-1,3346
34713,161,4199.84,13.636,-1,3347
34711,161,4200.24,18.75,-1,3348
34712,161,4200.72,16.667,-1,3349
34713,161,4201.12,15,-1,3350
34711,161,4202,21.429,-1,3351
34712,161,4203.52,18.75,-1,3352
34713,161,4204.16,16.667,-1,3353
34713,161,4205.04,21.429,-1,3354
34712,160,4205.56,15,-1,3355
34713,161,4206.52,18.75,-1,3356
34711,161,4207.28,16.667,-1,3357
34713,161,4207.48,18.75,-1,3358
34712,160,4208.8,18.75,-1,3359
34713,160,4209.2,25,-1,3360
34712,161,4211.16,50,-1,3361
34711,160,4214,18.75,-1,3362
34712,161,4214.2,15,-1,3363
34713,161,4215.32,18.75,-1,3364
34712,160,4217.2,15,-1,3365
34713,160,4217.56,21.429,-1,3366
34711,160,4217.8,18.75,-1,3367
34713,160,4219.28,18.75,-1,3368
34712,161,4224.28,15,-1,3369
34711,160,4225.16,18.75,-1,3370
34712,161,4226.12,10,-1,3371
34711,161,4226.44,10.714,-1,3372
34712,160,4226.8,13.636,-1,3373
34712,161,4227.8,16.667,-1,3374
34713,160,4228.64,18.75,-1,3375
34711,160,4228.96,21.429,-1,3376
34712,160,4230.32,13.636,-1,3377
34712,160,4232.4,16.667,-1,3378
34712,160,4233.88,13.636,-1,3379
34713,161,4234.2,15,-1,3380
34711,160,4234.92,15,-1,3381
34712,161,4235.24,15,-1,3382
34713,160,4235.68,15,-1,3383
34711,161,4236,18.75,-1,3384
34712,160,4237.4,25,-1,3385
34713,161,4238.12,25,-1,3386
34712,161,4238.92,15,-1,3387
34711,160,4239.28,18.75,-1,3388
34713,160,4239.6,15,-1,3389
34712,160,4240.84,13.636,-1,3390
34711,161,4241.28,25,-1,3391
34712,160,4242.28,15,-1,3392
34713,160,4242.64,25,-1,3393
34711,160,4243.8,16.667,-1,3394
34712,160,4244.12,18.75,-1,3395
34712,160,4246.72,15,-1,3396
34713,161,4247,15,-1,3397
34712,161,4248.76,15,-1,3398
34711,160,4249.04,18.75,-1,3399
34713,161,4249.96,16.667,-1,3400
34711,160,4250.84,15,-1,3401
34712,160,4251.56,16.667,-1,3402
34713,160,4252.44,18.75,-1,3403
34711,160,4252.96,16.667,-1,3404
34711,160,4254.04,18.75,-1,3405
34711,161,4255.32,18.75,-1,3406
34712,161,4256.08,13.636,-1,3407
34713,161,4256.36,13.636,-1,3408
34712,161,4257.08,18.75,-1,3409
34713,160,4258.6,18.75,-1,3410
34711,160,4259.28,9.375,-1,3411
34712,160,4259.52,30,-1,3412
34713,160,4260.2,15,-1,3413
34712,161,4260.8,16.667,-1,3414
34711,160,4261.6,25,-1,3415
34712,160,4261.8,25,-1,3416
34713,160,4262.04,16.667,-1,3417
34712,160,4263.16,18.75,-1,3418
34713,161,4263.48,13.636,-1,3419
34711,161,4264,13.636,-1,3420
34712,160,4264.36,13.636,-1,3421
34713,161,4265.4,18.75,-1,3422
34712,161,4266.84,13.636,-1,3423
34712,160,4267.96,15,-1,3424
34713,161,4269.12,18.75,-1,3425
34713,161,4269.96,18.75,-1,3426
34712,161,4270.48,16.667,-1,3427
34713,160,4271.48,21.429,-1,3428
34712,160,4274.08,16.667,-1,3429
34712,161,4276.68,13.636,-1,3430
34713,161,4277.96,18.75,-1,3431
34711,160,4278.52,11.538,-1,3432
34712,160,4281.4,15,-1,3433
34711,161,4281.76,16.667,-1,3434
34711,160,4283.6,15,-1,3435
34712,161,4284.52,12.5,-1,3436
34713,160,4285.72,21.429,-1,3437
34712,161,4286.76,15,-1,3438
34713,161,4287,15,-1,3439
34711,161,4288.84,13.636,-1,3440
34713,160,4289.16,18.75,-1,3441
34712,160,4289.72,11.538,-1,3442
34713,161,4290,12.5,-1,3443
34711,161,4290.2,12.5,-1,3444
34713,160,4291.08,12.5,-1,3445
34711,161,4291.32,13.636,-1,3446
34712,161,4292.2,13.636,-1,3447
34711,161,4292.92,13.636,-1,3448
34713,161,4293.48,16.667,-1,3449
34713,160,4294.52,16.667,-1,3450
34712,160,4294.72,12.5,-1,3451
34711,161,4295.84,15,-1,3452
34713,160,4296.6,18.75,-1,3453
34712,161,4296.76,16.667,-1,3454
34713,161,4297.44,21.429,-1,3455
34713,161,4298.12,10.714,-1,3456
34711,161,4298.36,30,-1,3457
34713,161,4300.6,16.667,-1,3458
34711,160,4300.88,16.667,-1,3459
34712,161,4303.12,15,-1,3460
34713,161,4303.52,12.5,-1,3461
34711,160,4303.88,16.667,-1,3462
34712,160,4305.36,15,-1,3463
34712,160,4306.16,15,-1,3464
34712,160,4307.24,16.667,-1,3465
34711,160,4308,18.75,-1,3466
34712,160,4308.64,16.667,-1,3467
34711,160,4309.52,15,-1,3468
34713,161,4310.4,25,-1,3469
34713,160,4311.96,21.429,-1,3470
34711,160,4312.32,12.5,-1,3471
34713,161,4313.32,15,-1,3472
34711,160,4313.6,16.667,-1,3473
34712,160,4314.36,13.636,-1,3474
34713,160,4314.52,50,-1,3475
34712,161,4315.68,21.429,-1,3476
34713,161,4315.92,16.667,-1,3477
34712,160,4317.48,13.636,-1,3478
34712,161,4319.16,13.636,-1,3479
34713,160,4319.52,25,-1,3480
34711,161,4321.6,37.5,-1,3481
34712,160,4322.84,21.429,-1,3482
34713,160,4323.36,25,-1,3483
34712,161,4326.8,21.429,-1,3484
34712,161,4328.6,16.667,-1,3485
34712,161,4330.4,16.667,-1,3486
34713,160,4331.08,13.636,-1,3487
34713,161,4334.36,21.429,-1,3488
34713,161,4334.56,75,-1,3489
34711,161,4334.6,25,-1,3490
34711,160,4336.6,18.75,-1,3491
34712,161,4337.44,16.667,-1,3492
34712,161,4342.72,13.636,-1,3493
34711,161,4343.04,16.667,-1,3494
34711,160,4345.48,30,-1,3495
34713,160,4347.08,18.75,-1,3496
34712,161,4347.52,13.636,-1,3497
34712,161,4349.08,21.429,-1,3498
34711,161,4349.68,18.75,-1,3499
34713,161,4350.08,16.667,-1,3500
34712,161,4350.4,15,-1,3501
34711,160,4351,18.75,-1,3502
34711,161,4352.68,15,-1,3503
34712,160,4353,13.636,-1,3504
34713,160,4353.88,25,-1,3505
34713,160,4355.24,18.75,-1,3506
34712,160,4356.12,9.375,-1,3507
34713,160,4356.36,13.636,-1,3508
34712,161,4357.2,12.5,-1,3509
34711,160,4357.44,12.5,-1,3510
34713,160,4358.28,12.5,-1,3511
34711,160,4359.36,13.636,-1,3512
34712,161,4360.68,15,-1,3513
34713,161,4362.84,11.538,-1,3514
34712,160,4363.32,18.75,-1,3515
34712,160,4364.24,18.75,-1,3516
34713,160,4364.56,10,-1,3517
34711,161,4364.8,75,-1,3518
34711,160,4365.4,18.75,-1,3519
34711,160,4366.4,13.636,-1,3520
34712,160,4366.72,13.636,-1,3521
34713,160,4366.92,15,-1,3522
34711,161,4367.64,15,-1,3523
34712,160,4367.92,10.714,-1,3524
34711,161,4369.16,15,-1,3525
34713,161,4369.32,13.636,-1,3526
34713,161,4370.48,12.5,-1,3527
34713,161,4371.84,15,-1,3528
34713,161,4374.44,16.667,-1,3529
34712,160,4376.24,10.714,-1,3530
34711,160,4376.88,10.714,-1,3531
34712,161,4377.76,13.636,-1,3532
34711,160,4378.96,16.667,-1,3533
34711,160,4380.8,15,-1,3534
34713,161,4381.4,21.429,-1,3535
34711,160,4382.12,11.538,-1,3536
34712,161,4382.8,15,-1,3537
34712,161,4384.52,18.75,-1,3538
34711,161,4385.08,13.636,-1,3539
34713,160,4385.48,12.5,-1,3540
34712,161,4385.64,25,-1,3541
